#source_node	source_class	dest_node	dest_class	edge_class
24174	R	24312	R	R->R
24174	R	24313	R	R->R
24174	R	24314	R	R->R
24174	R	24315	R	R->R
24174	R	24316	R	R->R
24174	R	24317	R	R->R
24174	R	24318	R	R->R
24174	R	24319	R	R->R
24174	R	24320	R	R->R
24174	R	24321	R	R->R
24174	R	24322	R	R->R
24174	R	24323	R	R->R
24174	R	24324	R	R->R
24174	R	24325	R	R->R
24174	R	24326	R	R->R
24174	R	24327	R	R->R
24174	R	24328	R	R->R
24174	R	24329	R	R->R
24174	R	24330	R	R->R
24174	R	24331	R	R->R
24174	R	24332	R	R->R
24174	R	24333	R	R->R
24174	R	24334	R	R->R
24174	R	24335	R	R->R
24174	R	24336	R	R->R
24174	R	24337	R	R->R
24174	R	24338	R	R->R
24174	R	24339	R	R->R
24174	R	24340	R	R->R
24174	R	24341	R	R->R
24174	R	24342	R	R->R
24174	R	24343	R	R->R
24174	R	24344	R	R->R
24174	R	24345	R	R->R
24174	R	24346	R	R->R
24174	R	24347	R	R->R
24174	R	24348	R	R->R
24174	R	24349	R	R->R
24174	R	24350	R	R->R
24174	R	24351	R	R->R
24174	R	24352	R	R->R
24174	R	24353	R	R->R
24174	R	24354	R	R->R
24174	R	24355	R	R->R
24174	R	24356	R	R->R
24174	R	24357	R	R->R
24174	R	24358	R	R->R
24174	R	24359	R	R->R
24174	R	24360	R	R->R
24174	R	24361	R	R->R
24174	R	24362	R	R->R
24174	R	24363	R	R->R
24174	R	24364	R	R->R
24174	R	24365	R	R->R
24174	R	24366	R	R->R
24174	R	24367	R	R->R
24174	R	24368	R	R->R
24174	R	24369	R	R->R
24174	R	24370	R	R->R
24174	R	24371	R	R->R
24174	R	24372	R	R->R
24174	R	24373	R	R->R
24174	R	24374	R	R->R
24174	R	24375	R	R->R
24174	R	24376	R	R->R
24174	R	24377	R	R->R
24174	R	24378	R	R->R
24174	R	24379	R	R->R
24174	R	24380	R	R->R
24174	R	24381	R	R->R
24174	R	24382	R	R->R
24174	R	24383	R	R->R
24174	R	24384	R	R->R
24174	R	24385	R	R->R
24174	R	24386	R	R->R
24174	R	24387	R	R->R
24174	R	24388	R	R->R
24174	R	24389	R	R->R
24174	R	24390	R	R->R
24174	R	24391	R	R->R
24174	R	24392	R	R->R
24174	R	24393	R	R->R
24174	R	24394	R	R->R
24174	R	24395	R	R->R
24174	R	24396	R	R->R
24174	R	24397	R	R->R
24174	R	24398	R	R->R
24174	R	24399	R	R->R
24174	R	24400	R	R->R
24174	R	24401	R	R->R
24174	R	24402	R	R->R
24174	R	24403	R	R->R
24174	R	24404	R	R->R
24174	R	24405	R	R->R
24174	R	24406	R	R->R
24174	R	24407	R	R->R
24174	R	24408	R	R->R
24174	R	24409	R	R->R
24174	R	24410	R	R->R
24174	R	24411	R	R->R
24174	R	24412	R	R->R
24174	R	24413	R	R->R
24174	R	24414	R	R->R
24174	R	24415	R	R->R
24174	R	24416	R	R->R
24174	R	24417	R	R->R
24174	R	24418	R	R->R
24174	R	24419	R	R->R
24174	R	24420	R	R->R
24174	R	24421	R	R->R
24174	R	24422	R	R->R
24174	R	24423	R	R->R
24174	R	24424	R	R->R
24174	R	24425	R	R->R
24174	R	24426	R	R->R
24174	R	24427	R	R->R
24174	R	24428	R	R->R
24174	R	24429	R	R->R
24174	R	24430	R	R->R
24174	R	24431	R	R->R
24174	R	24432	R	R->R
24174	R	24433	R	R->R
24174	R	24434	R	R->R
24174	R	24435	R	R->R
24174	R	24436	R	R->R
24174	R	24437	R	R->R
24174	R	24438	R	R->R
24174	R	24439	R	R->R
24174	R	24440	R	R->R
24174	R	24441	R	R->R
24174	R	24442	R	R->R
24174	R	24443	R	R->R
24174	R	24444	R	R->R
24174	R	24445	R	R->R
24174	R	24446	R	R->R
24174	R	24447	R	R->R
24174	R	24448	R	R->R
24174	R	24449	R	R->R
24174	R	24450	R	R->R
24174	R	24451	R	R->R
24174	R	24452	R	R->R
24174	R	24453	R	R->R
24174	R	24454	R	R->R
24174	R	24455	R	R->R
24174	R	24456	R	R->R
24174	R	24457	R	R->R
24174	R	24458	R	R->R
24174	R	24459	R	R->R
24174	R	24460	R	R->R
24174	R	24461	R	R->R
24174	R	24462	R	R->R
24174	R	24463	R	R->R
24174	R	24464	R	R->R
24174	R	24465	R	R->R
24174	R	24466	R	R->R
24174	R	24467	R	R->R
24174	R	24468	R	R->R
24174	R	24469	R	R->R
24174	R	24470	R	R->R
24174	R	24471	R	R->R
24174	R	24472	R	R->R
24174	R	24473	R	R->R
24174	R	24474	R	R->R
24174	R	24475	R	R->R
24174	R	24476	R	R->R
24174	R	24477	R	R->R
24174	R	24478	R	R->R
24174	R	24479	R	R->R
24174	R	24480	R	R->R
24174	R	24481	R	R->R
24174	R	24482	R	R->R
24174	R	24483	R	R->R
24174	R	24484	R	R->R
24174	R	24485	R	R->R
24174	R	24486	R	R->R
24174	R	24487	R	R->R
24174	R	24488	R	R->R
24174	R	24489	R	R->R
24174	R	24490	R	R->R
24174	R	24491	R	R->R
24174	R	24492	R	R->R
24174	R	24493	R	R->R
24174	R	24494	R	R->R
24174	R	24495	R	R->R
24174	R	24496	R	R->R
24174	R	24497	R	R->R
24174	R	24498	R	R->R
24174	R	24499	R	R->R
24174	R	24500	R	R->R
24174	R	24501	R	R->R
24174	R	24502	R	R->R
24174	R	24503	R	R->R
24174	R	24504	R	R->R
24174	R	24505	R	R->R
24174	R	24506	R	R->R
24174	R	24507	R	R->R
24174	R	24508	R	R->R
24174	R	24509	R	R->R
24174	R	24510	R	R->R
24174	R	24511	R	R->R
24174	R	24512	R	R->R
24174	R	24513	R	R->R
24174	R	24514	R	R->R
24174	R	24515	R	R->R
24174	R	24516	R	R->R
24174	R	24517	R	R->R
24174	R	24518	R	R->R
24174	R	24519	R	R->R
24174	R	24520	R	R->R
